index,comprehensionlist,listsetdiff,numpysetdiff1d
2,3.396898682694882e-05,4.910001007374376e-05,0.0023284009948838502
7,6.454999675042927e-05,5.552399670705199e-05,0.0025977480108849704
12,0.0001190229959320277,6.738700903952122e-05,0.0032741070026531816
17,0.00017252100224141032,7.82389979576692e-05,0.003504893000354059
22,0.00028381899755913764,8.369699935428798e-05,0.0038475100009236485
27,0.00037419600994326174,0.00010815999121405184,0.002379291006946005
32,0.00046146599925123155,0.00012063299072906375,0.0023944670101627707
37,0.0007067549886414781,0.0001296720001846552,0.00247783400118351
42,0.0007464369991794229,0.0001311490050284192,0.002520217007258907
47,0.0008865769923431799,0.0001372800034005195,0.002621919004013762
52,0.0009118550078710541,0.00014182999439071864,0.0026483319961698726
57,0.0013197530061006546,0.0001519390061730519,0.002656807002495043
62,0.0016783909959485754,0.0001714569953037426,0.002765546989394352
67,0.0017458330112276599,0.0001618270034668967,0.002723059995332733
72,0.0022451499971793965,0.00018347500008530915,0.0028505460068117827
77,0.0022001070028636605,0.0001899839990073815,0.0029028040007688105
82,0.002469614992151037,0.00017776999447960407,0.0028846319910371676
87,0.0028807040071114898,0.00018701900262385607,0.00296859499940183
92,0.003693373000714928,0.00020758899336215109,0.0030073689995333552
97,0.0035871120053343475,0.0002163119934266433,0.0030936179973650724
102,0.004281948000425473,0.00021573899721261114,0.0031888980010990053
152,0.008860738002113067,0.00040361599531024694,0.003579510987037793
202,0.016577276997850277,0.0004163169942330569,0.004024506997666322
252,0.026680543000111356,0.0004970160080119967,0.004718585012597032
302,0.03703515499364585,0.0006147980020614341,0.00574544099799823
352,0.05288795199885499,0.0008839459915179759,0.006224793003639206
402,0.06826809600170236,0.0010245829907944426,0.007092767002177425
452,0.08220112000708468,0.0012544630008051172,0.008104713997454382
502,0.10939878699718975,0.002057903999229893,0.008610507007688284
552,0.13439570800983347,0.002327267997316085,0.009504218003712595
602,0.160160059996997,0.002614766010083258,0.01000398000178393
652,0.18822828600241337,0.0027555139968171716,0.011033931004931219
702,0.21646757201233413,0.0029035240004304796,0.012117275997297838
752,0.24193335699965246,0.0031400759908137843,0.012471524998545647
802,0.2867391990002943,0.003279615004430525,0.013165053998818621
852,0.3247916499967687,0.0034829910000553355,0.013803587993606925
902,0.3666946480079787,0.003596965005272068,0.014585085998987779
952,0.40034191000449937,0.003743910987395793,0.01523153499874752
